Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
c9832a76f6af231bffde5209ae0b0377be8d6a45,"fix: add default config for torch optimizer

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['93f25126c645c2aa9c12b9b640baebb1181752a9'],False,['raylab\\algorithms\\naf\\naf.py']
570441605fd5982d557fa673596f7572e4f3e9bb,"fix(naf): disable gradient computation in compute_actions

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['c9832a76f6af231bffde5209ae0b0377be8d6a45'],False,['raylab\\algorithms\\naf\\naf_policy.py']
265fc2e1faaf5ba4d9effcc7eb4fdf16fa14c5d6,"fix(td3): check if horizon is None

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['570441605fd5982d557fa673596f7572e4f3e9bb'],False,['raylab\\algorithms\\ddpg\\ddpg_policy.py']
60fc408c34db933570397e6a919429067de83e27,"fix(naf): return info dict with loss computation

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['9ea553df1659149c7aab75ee4985f1c49d443ed3'],False,['raylab\\algorithms\\naf\\naf_policy.py']
aa154c5c82be0b16c5cfcf03a8db91058cf03a40,"fix(tests): return scalar reward in MockEnv

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['60fc408c34db933570397e6a919429067de83e27'],False,['tests\\mock_env.py']
8d7713801bde2a98cab7368b446880ceaff3a192,"fix(naf): remove in-place operations and calculate logits from state

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['34a76ec20040fa19b19ed118b1743e161bfdd319'],False,['raylab\\algorithms\\naf\\naf_module.py']
1b5bb84187787f51de085d2dd202f0dcd8e7a83a,"fix(naf): correctly calculate best value

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['95d6dd44122a76ed4c09ba34a5b7f6a0f1165317'],False,['raylab\\algorithms\\naf\\naf_policy.py']
a002efa225a8d28d5f746f72972cc49a60cd43f4,"fix(scripts): add script import routine

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['8ec4206fcbd75927081e13ad2cbe2e4e184339ea'],False,['scripts\\tune_experiment.py']
7f16949fbf86ba24bf30665e926806358dfc89cd,"fix(naf): optimize the parameters of the main module

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['a62ef27f94fd024db3eeb97bad9b756e3beb0cf1'],False,['raylab\\algorithms\\naf\\naf_policy.py']
bd87b22c92e5ec9348e5865c9b2867c7eab3acec,"fix(naf): return appropriate advantage shape

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['f68f46717462b78e3c6a8f7cb76ff521b578135d'],False,['raylab\\algorithms\\naf\\naf_module.py']
6c2f88b0f5b484dc5f1e795c39f252bb754b43f7,"fix(naf): assert number of workers is 0

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['bd87b22c92e5ec9348e5865c9b2867c7eab3acec'],False,['raylab\\algorithms\\naf\\naf.py']
21a67cca7c4f8f58ac222f91150e93b85ab6917a,"fix(naf): avoid NaNs by squaring diagonal elements

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['6c2f88b0f5b484dc5f1e795c39f252bb754b43f7'],False,['raylab\\algorithms\\naf\\naf_module.py']
3daacd69c4bec4c7236c52a71865576bce692b38,"fix(naf): avoid errors when loading weights

NAF state dicts are different when exploration policy varies, even though all parameters
and buffers are the same. Since the NAF encapsulates all the modules, we load the state
dict from it instead.

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['ab22d293b173d710aabe7cdd7c588e7fbadc7f67'],False,['raylab\\algorithms\\naf\\naf_policy.py']
5dfcab73af87eb0171a0ecb35e82167cabc294e0,"fix(naf): revert TrilMatrixModule to trace-friendly implementation

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['ab98bf7ab63ef8faee36bceb99c8aa5217ec7b6d'],False,['raylab\\algorithms\\naf\\naf_module.py']
451bdd1430f6e0bd593536647300b41f8db18097,"fix(viskit): avoid inserting repeated keys

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['99bf556e2fc5f5f87321129477c85e4ad1ead461'],False,['raylab\\viskit\\core.py']
81ac1ae22cfc0a8076d72a8812dd6a1b5e86c66c,"fix(viskit): set estimator to None for individual runs

Signed-off-by: Ângelo Lovatto <angelolovatto@gmail.com>",['1278ef5c5f2953d14477cfa7e21551e7cfcc992e'],False,['raylab\\viskit\\plot.py']
